story_index,map_id,order,parent_id,map_name
262,325,262,0,Jungla Camachuelo
263,326,263,325,Pueblo Gorrión
264,335,264,325,Palacio Real (P3)
265,336,265,335,Jungla Camachuelo
266,337,266,336,Palacio Real (P3)
267,343,267,0,Alama dreaming
268,344,268,343,Cárcel de Akebia (P-3)
269,345,269,344,Palacio Real
270,129,270,0,Ruta 5
271,100,271,129,Ruta 5 - Escuela
272,136,272,129,Ruta 5
273,330,273,129,Ruta 5
274,329,274,0,Ruta 16
275,350,275,329,Orfanato Abandonado
276,354,276,350,Habitación
277,355,277,350,Sala de Estudio
278,361,278,350,Laberinto
279,364,279,350,Despacho
280,356,280,350,Comedor
281,366,281,350,Cocina
282,367,282,350,Almacén
283,369,283,350,Pasillo
284,374,284,350,Rotom Sala
285,370,285,350,Habitación de Shadow
286,371,286,370,Ruta 16
287,372,287,370,???
288,373,288,370,Pasillo Kaleo
289,393,289,373,Ruta 18
290,606,290,393,Cima Torre Celestial
291,357,291,329,Orfanato Antiguo
292,358,292,357,Habitación
293,359,293,357,Sala de Estudio
294,362,294,357,Pasillo
295,363,295,357,Despacho
296,360,296,357,Comedor
297,365,297,357,Cocina
298,368,298,357,Almacén
299,339,299,329,Ruta 16 
300,375,300,339,Cueva Magnética (P0)
301,376,301,339,Cueva Magnética (P0)
302,377,302,376,Cueva Magnética (P0)
303,378,303,376,Cueva Magnética (P0)
304,384,304,376,Cueva Magnética (P0)
305,387,305,376,Cueva Magnética (P1)
306,401,306,387,Ruta 19 (Exterior)
307,404,307,401,Jardín del Palacio Real
308,405,308,404,Ciudad Lugano (Centro)
309,406,309,405,Zona de Ejecuciones
310,412,310,406,Ciudad Lugano (Centro)
311,413,311,412,Casa de Vesta
312,414,312,413,Hospital
313,415,313,414,Cementerio
314,417,314,415,Barrio Pobre
315,418,315,417,Ciudad Lugano (Centro)
316,420,316,418,Palacio Real
317,421,317,406,Ciudad Lugano (Norte)
318,422,318,421,Ciudad Lugano (Centro)
319,423,319,422,Escena
320,379,320,339,Cueva Magnética (P1)
321,380,321,379,Cueva Magnética (P1)
322,381,322,379,Cueva Magnética (P1)
323,385,323,379,Cueva Magnética (P2)
324,386,324,385,Ruta 17
325,382,325,339,Cueva Magnética (P-1)
326,383,326,339,Cueva Magnética (P-1)
327,675,327,383,Cueva Legendaria
328,395,328,339,Ruta 16
329,394,329,395,Bosque Perdido
330,347,330,0,Ruta 17
331,388,331,347,Ruta 17
332,389,332,388,Ruta 17
333,346,333,0,Ruta 18
334,155,334,346,Gate 20
335,390,335,0,Ciudad Lugano (Oeste)
336,407,336,390,Hospital
337,408,337,407,Hospital (PB)
338,409,338,407,Hospital (P1)
339,432,339,409,Hospital (P1)
340,410,340,407,Hospital (P2)
341,416,341,410,Hospital (P2)
342,661,342,410,Hospital (P2)
343,662,343,410,Hospital (P2) - Celeste
344,665,344,410,Hospital (P2) - SakuraChan
345,411,345,407,Hospital (Azotea)
346,392,346,390,Centro Pokémon
347,391,347,390,Gate 18
348,424,348,390,Galería de Arte
349,427,349,424,Galería de Arte (P1)
350,426,350,427,Galería de Arte (P1)
351,19,351,424,Galería de Arte (P2)
352,425,352,390,Galería de Arte
353,428,353,425,Galería de Arte (P1)
354,431,354,428,Parque del Retiro 
355,434,355,390,Heladería
356,438,356,390,GoldBanco
357,672,357,390,Ciudad Lugano (Oeste)
358,396,358,0,Ciudad Lugano (Centro)
359,419,359,396,Bar Stones
360,430,360,396,Barrio Pobre
361,497,361,430,Barrio Pobre
362,501,362,497,Barrio Pobre
363,433,363,396,Unbreakable Ties S.A
364,435,364,433,Unbreakable Ties S.A
365,436,365,435,Unbreakable Ties S.A
366,437,366,436,Unbreakable Ties S.A
367,441,367,396,Koffeetería
368,439,368,396,Floristería
369,459,369,396,Casino
370,460,370,459,Casino
371,461,371,459,Casino (P1)
372,499,372,461,Casino (P1)
373,463,373,461,Guarida
374,465,374,463,Guarida (P-1)
375,492,375,465,Habitación \PN
376,494,376,465,Almacén
377,464,377,463,Guarida (P-2)
378,467,378,464,Sala de Reuniones
379,468,379,467,Sala de Reuniones
380,469,380,468,Palacio Real (Subterráneo)
381,502,381,469,Palacio Real (Subterráneo)
382,647,382,502,Jardín del Palacio Real
383,498,383,464,Sala de Reuniones
384,533,384,464,Guarida (P-2)
385,534,385,533,Sala de Reuniones
386,535,386,534,Pasillo Kaleo
387,536,387,535,Habitación Kaleo
388,538,388,536,Casino (P1)
389,466,389,463,Guarida (P-3) - Cocina
390,500,390,463,Guarida (P-4)
391,495,391,500,Guarida (P-4) - Sala de Entr.
392,537,392,495,Guarida (P-4) - Sala de Entr.
393,517,393,500,Guarida (P-4) - Sala de Entrenamiento
394,518,394,517,Sala de Entrenamiento
395,519,395,518,Frente Batalla
396,520,396,519,Frente Batalla
397,521,397,520,Arena de Combate
398,522,398,519,Frente Batalla
399,523,399,522,Arena de Combate
400,524,400,519,Frente Batalla
401,525,401,524,Arena de Combate
402,526,402,519,Frente Batalla
403,527,403,526,Arena de Combate
404,528,404,519,Frente Batalla
405,529,405,528,Arena de Combate
406,496,406,463,Guarida (P-5) - Sótano
407,505,407,496,Guarida (P-5) - Sótano
408,462,408,396,Ciudad Lugano (Centro)
409,679,409,396,Ciudad Lugano (Centro)
410,398,410,0,Ciudad Lugano (Norte)
411,400,411,398,Zona de Ejecuciones
412,531,412,400,Zona de Ejecuciones
413,532,413,531,Bar Stones
414,440,414,398,Centro Comercial (PB)
415,442,415,440,Centro Comercial (P1)
416,443,416,440,Centro Comercial (P2)
417,444,417,440,Centro Comercial (P3)
418,445,418,440,Centro Comercial (P4)
419,446,419,440,Centro Comercial (P5)
420,447,420,440,Centro Comercial (P6)
421,449,421,440,Centro Comercial (P7)
422,448,422,440,Centro Comercial (Azotea)
423,402,423,398,Ciudad Lugano (Norte)
424,403,424,402,Jardín del Palacio Real
425,540,425,403,Jardín del Palacio Real
426,609,426,540,Cinemática Jardín
427,450,427,398,Comisaría
428,678,428,398,Ciudad Lugano (Norte)
429,397,429,0,Ciudad Lugano (Este)
430,454,430,397,Gate 19
431,453,431,397,Gate 22
432,455,432,453,Parque del Retiro
433,451,433,455,Parque del Retiro
434,452,434,451,Parque del Retiro 
435,633,435,452,Cueva Talégalo
436,634,436,452,Cueva Talégalo
437,635,437,452,Cueva Talégalo
438,456,438,397,Centro Pokémon
439,544,439,397,Teatro
440,545,440,544,Teatro (PB)
441,546,441,545,Cloacas - Sala Final
442,548,442,546,Jardín del Palacio Real
443,549,443,548,Jardín del Palacio Real
444,557,444,549,Jardín del Palacio Real
445,560,445,557,Biblioteca de Estela
446,574,446,560,Palacio Real (Subterráneo)
447,547,447,544,Teatro (PB)
448,550,448,547,Teatro (P1)
449,551,449,550,Teatro (P1)
450,563,450,551,Teatro (P2)
451,569,451,563,Sala de Teatro
452,566,452,569,Conducto de ventilación
453,567,453,566,Conducto de ventilación
454,568,454,567,Conducto de ventilación (Verde)
455,570,455,567,Conducto de ventilación (Yellow)
456,571,456,567,Conducto de ventilación (Blue)
457,572,457,567,Conducto de ventilación (Red)
458,573,458,567,Palacio Real - Trono
459,648,459,573,Jardín del Palacio Real
460,542,460,569,Palacio Real (P0)
461,562,461,550,Teatro (P1)
462,564,462,562,Teatro (P1)
463,565,463,550,Teatro (P1)
464,600,464,550,Teatro (P2)
465,601,465,600,Sala de Teatro
466,575,466,547,Laboratorio
467,576,467,575,Laboratorio (P0)
468,577,468,576,Laboratorio (P0)
469,579,469,576,Laboratorio (P0)
470,578,470,575,Laboratorio (P-1)
471,580,471,578,Laboratorio (P-1)
472,581,472,575,Laboratorio (P-2)
473,582,473,581,Laboratorio (P-2)
474,583,474,575,Laboratorio (P-3)
475,585,475,575,Laboratorio (P-5)
476,586,476,585,Laboratorio (Sala final)
477,590,477,586,Palacio Real - Entrada
478,594,478,590,Jardín del Palacio Real
479,595,479,594,Despacho
480,593,480,595,Palacio Real (P-1)
481,587,481,586,Sala de Teatro
482,602,482,587,Palacio Real (Subterráneo)
483,399,483,0,Ciudad Lugano (Sur)
484,458,484,399,Ristorante del Amour
485,457,485,458,Ristorante del Amour
486,348,486,0,Ruta 19
487,353,487,348,Ruta 19
488,351,488,353,Ruta 19
489,352,489,348,Cementerio
490,349,490,352,Cementerio
491,470,491,0,Escenas Pasado Edward
492,472,492,470,Ciudad Lugano (Norte)
493,473,493,472,Ciudad Lugano (Centro)
494,471,494,473,Floristería
495,474,495,471,Parque del Retiro 
496,475,496,474,Paso Floral
497,476,497,474,Paso Floral
498,477,498,476,Ladera Floral
499,478,499,477,Cima Floral
500,479,500,478,Bar Stones
501,480,501,479,Parque del Retiro 
502,481,502,480,Palacio Real
503,482,503,481,Hospital (P2)
504,483,504,482,Cima Floral
505,484,505,483,Palacio Real
506,485,506,484,Parque del Retiro 
507,486,507,485,Casa de Edward
508,488,508,486,Palacio Real
509,489,509,488,Jardín del Palacio Real
510,491,510,489,Palacio Real - Trono
511,487,511,491,Ciudad Lugano (Norte)
512,490,512,487,Zona de Ejecuciones
513,680,513,490,Palacio Real - Trono
514,503,514,0,Cloacas
515,504,515,503,Cloacas - Zona A
516,506,516,503,Cloacas - Zona B
517,507,517,503,Cloacas - Zona C
518,513,518,507,Cloacas - Zona C (FINAL)
519,508,519,513,Cloacas - Zona C (Agua Media)
520,509,520,508,Cloacas - Zona C (Agua Alta)
521,510,521,503,Cloacas - Zona D
522,511,522,510,Cloacas - Zona D (Agua Media)
523,512,523,511,Cloacas - Zona D (Agua Baja)
524,514,524,503,Cloacas - Sala Final
525,515,525,514,Despacho de Liberty
526,516,526,515,Ciudad Lugano (Centro)
527,539,527,503,Cloacas - Sala Extra
528,530,528,0,Cima Floral
529,541,529,0,Palacio Real
530,543,530,541,Palacio Real - Entrada
531,588,531,543,Palacio Real (P0)
532,591,532,543,Palacio Real (P0)
533,592,533,591,Cocina Palacio
534,613,534,591,Palacio Real (P0)
535,552,535,541,Palacio Real (P1)
536,608,536,552,Palacio Real (P1)
537,554,537,541,Palacio Real (P2)
538,614,538,554,Palacio Real (P2)
539,615,539,554,Palacio Real (P2)
540,616,540,615,Palacio Real (P2)
541,553,541,541,Palacio Real (P3)
542,558,542,553,Despacho
543,559,543,553,Palacio Real - Trono
544,596,544,553,Palacio Real (P3)
545,597,545,596,Palacio Real (P3)
546,598,546,597,Palacio Real - Trono
547,607,547,598,Palacio Real - Entrada
548,604,548,553,Entrada Jardín
549,154,549,604,Jardín de crianza
550,618,550,553,Palacio Real (P3)
551,676,551,618,Palacio Real (P3)
552,677,552,676,Salón de piano
553,603,553,541,Palacio Real (P4)
554,561,554,603,Biblioteca de Estela
555,621,555,561,Escenas finales Palacio
556,620,556,621,Biblioteca de Estela
557,622,557,620,Palacio Real (P2)
558,623,558,622,Palacio Real (P-2)
559,624,559,623,Biblioteca de Estela
560,555,560,541,Palacio Real (P-1)
561,589,561,555,Palacio Real (P-1)
562,556,562,541,Palacio Real (P-2)
563,605,563,556,Palacio Real (Subterráneo)
564,617,564,605,Palacio Real - Entrada
565,619,565,617,Palacio Real (P-1)
566,610,566,556,Palacio Real (P-2)
567,611,567,610,Palacio Real (P-3)
568,612,568,611,Sala del Tesoro Celestial
569,625,569,0,Escenas post Palacio
570,626,570,625,Ciudad Lugano (Norte)
571,627,571,625,Zona de Ejecuciones
572,628,572,625,Cima Floral
573,629,573,625,Parque del Retiro 
574,630,574,625,Pueblo Gorrión
575,631,575,625,Sala de Reuniones
576,632,576,625,Aldea Camachuelo
577,640,577,625,Cima Floral
578,642,578,625,Hospital (Azotea)
579,643,579,642,Ciudad Forbe
580,644,580,625,Ciudad Lugano (Norte)
581,645,581,625,EDA Y DAREK VOLANDO AAA
582,636,582,0,PASO FLORAL XD
583,637,583,636,Paso Floral
584,638,584,636,Paso Floral
585,639,585,636,Ladera Floral
586,641,586,636,Ladera Floral
587,673,587,641,Cueva Talégalo (Extend)
588,674,588,673,Sala legendaria
589,233,589,636,Cima Floral
590,649,590,0,PASADO AMATISTA
591,650,591,649,Sendero Graznido
592,651,592,650,Cima Graznido
593,652,593,649,Cima Torre Celestial
594,663,594,649,Floristería
595,653,595,649,Choque con Álama Ruta 16
596,654,596,649,Oficinista y Sheila con Darek
597,664,597,649,Álama en la Cima Shaymin
598,655,598,649,Zona ejecuciones (Henry busca Darek)
599,656,599,649,Oficinista en el Bar
600,657,600,649,Escena del coche en llamas
601,659,601,649,Zona ejecuciones (Henry busca Darek)
602,658,602,649,Palacio Real (Subterráneo)
603,681,603,0,INTRODUCCION
604,682,604,681,Ruta 1
605,33,605,681,Ciudad Cardenal (Centro)
606,685,606,681,Ciudad Forbe
607,686,607,681,Cima Floral
608,141,608,681,Ciudad Forbe - Gym
609,429,609,681,Ciudad Lugano (Centro)
610,684,610,681,Cima Quetzales
611,683,611,681,Reino de Celestia
612,153,612,0,------- NUEVA PARTE -------
613,156,613,0,Ruta 20
614,157,614,156,Paso Graznido
615,660,615,156,Sendero Graznido
616,493,616,660,Sendero Graznido
617,687,617,493,Claro del Sueño
618,646,618,493,Claro del Sueño (final)
619,688,619,646,Cima Graznido
620,690,620,660,Cueva Graznido
621,689,621,156,Paso Cacatúa
622,691,622,689,Caverna Tángara
623,692,623,689,Caverna Tángara
624,693,624,692,Paso Cacatúa (final)
625,694,625,693,Ruta 21 (Extra)
626,695,626,0,Ruta 21
627,696,627,695,Ruta 21
628,697,628,695,Granja abandonada
629,698,629,695,Granja de \PN
630,700,630,698,Granja de \PN
631,702,631,698,Casa de \PN
632,699,632,695,Tienda agropecuaria
633,701,633,695,Gate 22
634,703,634,0,Pueblo Mandarín
635,704,635,703,Centro Pokémon
636,705,636,703,Pueblo Mandarín
637,706,637,0,Isla del Sur
638,707,638,706,Isla del Sur (Central)
639,2,639,707,Isla del Sur (Risco)
640,3,640,707,Volcán Tucán
641,4,641,707,???
642,1,642,707,Isla del Sur (Oeste)
643,25,643,0,Summer Resort
644,27,644,25,Summer Info Resort
645,28,645,25,Fishing Minigame
646,29,646,25,Flashback MC
